Fragment,Temp,Photosynthesis,Respiration,P:R,Treatment
5D,28,-0.087003656,-0.992904321,-0.087625418,Abr
5C,28,-0.406243567,-0.781732367,-0.519670905,Abr
M6e,28,0.288000672,-0.914495641,0.314928425,Abr
5X,28,0.462862204,-0.790687544,0.585392052,Abr
B8f,28,0.327550764,-2.00760819,0.163154726,Abr
M10a,28,-0.514864024,-0.875613231,-0.588003933,Abr
6D,28,0.087742269,-0.589915003,0.148737138,Abr
6E,28,-0.351524101,-1.339201892,-0.262487757,Abr
5G,28,0.136417108,-0.637513614,0.213983051,Abr
M6b,28,0.34156098,-0.798562429,0.427719821,Abr
K1e,28,0.837315125,-1.003987164,0.833989871,NoAbr
6E,28,0.961636204,-1.181538193,0.813884993,NoAbr
M6b,28,0.350667239,-0.512298551,0.684497817,NoAbr
5G,28,0.271673005,-0.479838035,0.566176471,NoAbr
5C,28,0.394983354,-0.557211864,0.708856683,NoAbr
M10b,28,0.822341649,-1.198570485,0.686102036,NoAbr
M6e,28,0.454655436,-0.268270103,1.694767442,NoAbr
M6a,28,0.355078567,-0.407721028,0.870886076,NoAbr
5X,28,0.255220435,-0.76766042,0.332465278,NoAbr
B8b,28,0.609696619,-0.93340998,1.192729936,NoAbr
4Ei,28,0.39619082,-0.320598255,1.235785953,NoAbr
M6b,28,0.154542591,-0.43044378,0.359030837,NoAbr
5H,28,0.22483126,-0.711631937,0.315937563,NoAbr
M10c,28,0.740594385,-1.182644667,1.143475623,NoAbr
4L,28,0.15833481,-0.494978976,0.31988189,NoAbr
B8c,28,0.479739482,-1.123350371,0.427061311,NoAbr
6D,28,0.377650473,-0.86400232,0.437094281,NoAbr
5D,28,0.37422594,-0.378376321,0.989031079,NoAbr
