Fragment,Temp,Photosynthesis,Respiration,P:R,Treatment
K1d,22,0.422324053,-0.326233468,1.294545455,NoAbr
M6a,22,0.835602331,-0.483680864,1.727590221,NoAbr
6E,22,0.790273143,-0.51277658,1.541164659,NoAbr
K1e,22,0.923726844,-0.223297605,4.136752137,NoAbr
5G,22,0.435656665,-0.301424075,1.445328032,NoAbr
5X,22,0.355242964,-0.228370477,1.555555556,NoAbr
B8f,22,1.034584567,-0.445700323,2.321256039,NoAbr
5C,22,0.667023091,-0.238648691,2.795,NoAbr
6D,22,0.410463317,-0.317024513,1.294736842,NoAbr
B8b,22,1.118484979,-0.117675708,9.504807692,NoAbr
M10a,22,0.444570773,-0.441364734,1.007263923,NoAbr
B8c,22,1.047117432,-0.244639043,4.280254777,NoAbr
M6b,22,0.499416671,-0.452454161,1.103795066,NoAbr
M6a,22,0.551501358,-0.244603711,2.254672897,NoAbr
5D,22,0.725111936,-0.390456552,1.857087379,NoAbr
K1e,25,0.884274003,-0.454336158,1.946298984,NoAbr
6D,25,0.764210749,-0.241016872,3.170776982,NoAbr
5X,25,0.466283639,-0.328221223,1.420638298,NoAbr
B8a,25,1.473003117,-0.533915876,2.758867423,NoAbr
4A,25,1.44479343,-1.103232179,1.309600515,NoAbr
4Ei,25,0.902592283,-0.457376479,1.973412112,NoAbr
4Eii,25,0.792821419,-0.436451009,1.816518698,NoAbr
4L,25,1.750371157,-0.48578202,3.603202847,NoAbr
6E,25,1.479704974,-0.851823309,1.737103175,NoAbr
5G,25,0.785078503,-0.403387447,1.946214511,NoAbr
5H,25,0.584515784,-0.217513334,2.687264151,NoAbr
5D,25,1.534848435,-0.703380746,2.182101861,NoAbr
B8b,25,1.322570109,-0.458078092,2.88721537,NoAbr
M10a,25,2.434525195,-0.921063276,2.643168237,NoAbr
5C,25,0.381663179,-0.465879936,0.819230769,NoAbr
M1d,25,0.380949913,-0.316251196,1.204580153,NoAbr
B8f,25,1.745925478,-0.774117137,2.255376344,NoAbr
B8e,25,0.789657502,-0.501570927,1.574368569,NoAbr
B8c,25,1.791712622,-1.112477304,1.610561056,NoAbr
K1e,28,0.837315125,-1.003987164,0.833989871,NoAbr
6E,28,0.961636204,-1.181538193,0.813884993,NoAbr
M6b,28,0.350667239,-0.512298551,0.684497817,NoAbr
5G,28,0.271673005,-0.479838035,0.566176471,NoAbr
5C,28,0.394983354,-0.557211864,0.708856683,NoAbr
M10b,28,0.822341649,-1.198570485,0.686102036,NoAbr
M6e,28,0.454655436,-0.268270103,1.694767442,NoAbr
M6a,28,0.355078567,-0.407721028,0.870886076,NoAbr
5X,28,0.255220435,-0.76766042,0.332465278,NoAbr
B8b,28,0.609696619,-0.93340998,0.653192736,NoAbr
4Ei,28,0.39619082,-0.320598255,1.235785953,NoAbr
M6b,28,0.154542591,-0.43044378,0.359030837,NoAbr
5H,28,0.22483126,-0.711631937,0.315937563,NoAbr
M10c,28,0.740594385,-1.182644667,0.626218852,NoAbr
4L,28,0.15833481,-0.494978976,0.31988189,NoAbr
B8c,28,0.479739482,-1.123350371,0.427061311,NoAbr
6D,28,0.377650473,-0.86400232,0.437094281,NoAbr
5D,28,0.37422594,-0.378376321,0.989031079,NoAbr
M6e,30,0.096673249,-0.900507513,0.107354184,NoAbr
B8b,30,0.149679637,-1.289943185,0.116035837,NoAbr
M6a,30,0.149781953,-0.442786066,0.338271605,NoAbr
5G,30,0.242409181,-0.546987958,0.443170965,NoAbr
B8e,30,0.166440252,-0.832398418,0.199952629,NoAbr
K1d,30,0.253855923,-2.340681791,0.108453838,NoAbr
M10a,30,0.283440075,-0.508417372,0.557494867,NoAbr
M6b,30,0.077955424,-0.463435788,0.168211921,NoAbr
4Eii,30,0.25036372,-0.458000472,0.546645113,NoAbr
6E,30,0.311670085,-0.505934557,0.616028458,NoAbr
5X,30,0.15565248,-0.824231636,0.188845554,NoAbr
6D,30,0.143612633,-0.76110574,0.188689463,NoAbr
5D,30,0.160358413,-0.601275625,0.266697013,NoAbr
