Fragment,Temp,Photosynthesis,Respiration,P:R,Treatment
M6a,22,1.191748028,-0.285150436,4.179365962,Abr
6E,22,0.988803106,-0.851105061,1.161787365,Abr
6D,22,0.229160998,-0.297331754,0.770724939,Abr
M6b,22,0.451337865,-0.156384611,2.886075949,Abr
M1d,22,0.088771051,-0.290945958,0.305111821,Abr
5D,22,0.328844596,-0.144057085,2.282738095,Abr
5C,22,0.194239892,-0.338645642,0.573578595,Abr
5X,22,0.450462227,-0.21839436,2.062609248,Abr
K1e,22,0.556448235,-0.218727489,2.544025157,Abr
5G,22,0.491800152,-0.37093075,1.32585436,Abr
6D,25,0.303495793,-0.835681568,0.363171577,Abr
M10b*,25,0.876172293,-0.339817908,2.578358209,Abr
B8c,25,0.034613602,-1.47973148,0.023391813,Abr
B8f,25,1.009535443,-1.009637221,0.999899194,Abr
5C,25,0.219002416,-0.322359992,0.679372197,Abr
5X,25,0.529781548,-0.408954177,1.295454545,Abr
6E,25,0.15304099,-1.310180179,0.116809117,Abr
M6e,25,0.702398624,-0.260410897,2.697270471,Abr
5G,25,0.631356504,-0.595534858,1.060150376,Abr
5D,25,0.108109921,-0.362625753,0.298130841,Abr
5D,28,-0.087003656,-0.992904321,-0.087625418,Abr
5C,28,-0.406243567,-0.781732367,-0.519670905,Abr
M6e,28,0.288000672,-0.914495641,0.314928425,Abr
5X,28,0.462862204,-0.790687544,0.585392052,Abr
B8f,28,0.327550764,-2.00760819,0.163154726,Abr
M10a,28,-0.514864024,-0.875613231,-0.588003933,Abr
6D,28,0.087742269,-0.589915003,0.148737138,Abr
6E,28,-0.351524101,-1.339201892,-0.262487757,Abr
5G,28,0.136417108,-0.637513614,0.213983051,Abr
M6b,28,0.34156098,-0.798562429,0.427719821,Abr
6E,30,-0.084022664,-2.090225353,-0.040197897,Abr
5D,30,-0.049216337,-0.496208551,-0.099184783,Abr
5G,30,0.260331268,-0.644596838,0.40386681,Abr
5X,30,0.273430465,-0.905738414,0.301886792,Abr
6D,30,0.042565076,-0.765536063,0.05560166,Abr
B8c,30,0.063457178,-1.643206926,0.038617886,Abr
B8e,30,0.069215282,-0.48588211,0.14245283,Abr
K1d,30,0.044692364,-0.841449341,0.053113553,Abr
M10b*,30,0.355412122,-1.639303974,0.216806723,Abr
M1d,30,0.336563659,-0.427106599,0.788008565,Abr
K1d,22,0.422324053,-0.326233468,2.36384,NoAbr
M6a,22,0.835602331,-0.483680864,1.727590221,NoAbr
6E,22,0.790273143,-0.51277658,1.541164659,NoAbr
K1e,22,0.923726844,-0.223297605,4.136752137,NoAbr
5G,22,0.435656665,-0.301424075,1.445328032,NoAbr
5X,22,0.355242964,-0.228370477,1.555555556,NoAbr
B8f,22,1.034584567,-0.445700323,2.321256039,NoAbr
5C,22,0.667023091,-0.238648691,2.795,NoAbr
6D,22,0.410463317,-0.317024513,1.294736842,NoAbr
B8b,22,1.118484979,-0.117675708,17.35577885,NoAbr
M10a,22,0.444570773,-0.441364734,1.839263923,NoAbr
B8c,22,1.047117432,-0.244639043,4.280254777,NoAbr
M6b,22,0.499416671,-0.452454161,1.103795066,NoAbr
M6a,22,0.551501358,-0.244603711,2.254672897,NoAbr
5D,22,0.725111936,-0.390456552,1.857087379,NoAbr
K1e,25,0.884274003,-0.454336158,1.946298984,NoAbr
6D,25,0.764210749,-0.241016872,3.170776982,NoAbr
5X,25,0.466283639,-0.328221223,1.420638298,NoAbr
